N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;AC  876;A;0835;20250330;20250330;0000007;YUL;YUL;297;333;J;1;;;;;S25;0;;;28JAN25 1944;
N;LYS;AC  876;A;0835;20250331;20250428;1000060;YUL;YUL;297;333;J;1;;;;;S25;1;;;29JAN25 1401;
N;LYS;AC  876;A;0835;20250401;20250429;0200000;YUL;YUL;297;333;J;1;;;;;S25;2;;;09APR25 1953;
N;LYS;AC  876;A;0835;20250403;20250424;0004000;YUL;YUL;297;333;J;1;;;;;S25;3;;;29JAN25 1401;
N;LYS;AC  876;A;0835;20250502;20250523;0030500;YUL;YUL;285;333;J;1;;;;;S25;4;;;23MAY25 1753;
N;LYS;AC  876;A;0835;20250504;20250527;0200007;YUL;YUL;285;333;J;1;;;;;S25;5;;;23MAY25 1753;
N;LYS;AC  876;A;0835;20250528;20250530;0030500;YUL;YUL;297;333;J;1;;;;;S25;6;;;23MAY25 1753;
N;LYS;AC  876;A;0835;20250601;20250706;0000507;YUL;YUL;297;333;J;1;;;;;S25;7;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250603;20250708;0200000;YUL;YUL;297;333;J;1;;;;;S25;8;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250604;20250709;0030000;YUL;YUL;297;333;J;1;;;;;S25;9;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250711;20250910;0230507;YUL;YUL;285;333;J;1;;;;;S25;10;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250912;20250912;0000500;YUL;YUL;297;333;J;1;;;;;S25;11;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250914;20250921;0000007;YUL;YUL;297;333;J;1;;;;;S25;12;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250916;20250916;0200000;YUL;YUL;297;333;J;1;;;;;S25;13;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250917;20250917;0030000;YUL;YUL;297;333;J;1;;;;;S25;14;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250919;20250926;0230500;YUL;YUL;285;333;J;1;;;;;S25;15;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20250928;20251003;0200507;YUL;YUL;285;333;J;1;;;;;S25;16;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20251001;20251008;0030000;YUL;YUL;297;333;J;1;;;;;S25;17;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20251005;20251012;0000007;YUL;YUL;297;333;J;1;;;;;S25;18;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20251007;20251007;0200000;YUL;YUL;297;333;J;1;;;;;S25;19;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20251010;20251010;0000500;YUL;YUL;297;333;J;1;;;;;S25;20;;;09JUL25 1548;
N;LYS;AC  876;A;0835;20251014;20251024;0230507;YUL;YUL;285;333;J;1;;;;;S25;21;;;09JUL25 1548;
N;LYS;AC  877;D;1200;20250330;20250330;0000007;YUL;YUL;297;333;J;1;;;;;S25;22;;;28JAN25 1944;
N;LYS;AC  877;D;1200;20250331;20250428;1004060;YUL;YUL;297;333;J;1;;;;;S25;23;;;27NOV24 0827;
N;LYS;AC  877;D;1200;20250401;20250429;0200000;YUL;YUL;297;333;J;1;;;;;S25;24;;;09APR25 1953;
N;LYS;AC  877;D;1200;20250502;20250523;0030500;YUL;YUL;285;333;J;1;;;;;S25;25;;;23MAY25 1753;
N;LYS;AC  877;D;1200;20250504;20250527;0200007;YUL;YUL;285;333;J;1;;;;;S25;26;;;23MAY25 1753;
N;LYS;AC  877;D;1200;20250528;20250530;0030500;YUL;YUL;297;333;J;1;;;;;S25;27;;;23MAY25 1753;
N;LYS;AC  877;D;1200;20250601;20250706;0000507;YUL;YUL;297;333;J;1;;;;;S25;28;;;09JUL25 1548;
N;LYS;AC  877;D;1200;20250603;20250603;0200000;YUL;YUL;297;333;J;1;;;;;S25;29;;;10JUN25 1429;
N;LYS;AC  877;D;1200;20250604;20250709;0030000;YUL;YUL;297;333;J;1;;;;;S25;30;;;09JUL25 1548;
N;LYS;AC  877;D;1200;20250617;20250708;0200000;YUL;YUL;297;333;J;1;;;;;S25;31;;;09JUL25 1548;
N;LYS;AC  877;D;1200;20250711;20250910;0230507;YUL;YUL;285;333;J;1;;;;;S25;32;;;09JUL25 1548;
