N/D;Airport;Flight Number;A/D;Time;From;To;Ops Days;Org/Nxt;Prv/Fin;Seats;A/C;STC;Frequency;Wait;;;;Season;Rotation ID;Code;Registration;Last Update;
N;LYS;AC  876;A;0905;20251026;20251102;0004067;YUL;YUL;297;333;J;1;;;;;W25;0;;;16JUL25 1614;
N;LYS;AC  876;A;1005;20251106;20251214;0004067;YUL;YUL;297;333;J;1;;;;;W25;1;;;16JUL25 1614;
N;LYS;AC  876;A;1005;20251216;20260308;0204067;YUL;YUL;297;333;J;1;;;;;W25;2;;;16JUL25 1614;
N;LYS;AC  876;A;0905;20260310;20260328;0204067;YUL;YUL;297;333;J;1;;;;;W25;3;;;16JUL25 1614;
N;LYS;AC  877;D;1155;20251026;20251101;0004067;YUL;YUL;297;333;J;1;;;;;W25;4;;;16JUL25 1614;
N;LYS;AC  877;D;1255;20251102;20260307;0004067;YUL;YUL;297;333;J;1;;;;;W25;5;;;16JUL25 1614;
N;LYS;AC  877;D;1255;20251216;20260303;0200000;YUL;YUL;297;333;J;1;;;;;W25;6;;;16JUL25 1614;
N;LYS;AC  877;D;1155;20260308;20260328;0204067;YUL;YUL;297;333;J;1;;;;;W25;7;;;16JUL25 1614;
N;LYS;AF 1795;A;0935;20251026;20260328;1234567;AMS;AMS;100;E90;J;1;;;;;W25;8;;;14MAY25 1331;
N;LYS;AF 1796;D;1125;20251026;20260328;1234567;AMS;AMS;100;E90;J;1;;;;;W25;9;;;14MAY25 1331;
N;LYS;AF 1797;A;1535;20251026;20260328;1234567;AMS;AMS;100;E90;J;1;;;;;W25;10;;;10JUL25 1455;
N;LYS;AF 1798;D;1650;20251026;20260328;1234567;AMS;AMS;100;E90;J;1;;;;;W25;11;;;10JUL25 1455;
N;LYS;AF 6021;A;0645;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;12;;;03JUN25 1508;
N;LYS;AF 6022;D;0725;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;13;;;03JUN25 1509;
N;LYS;AF 6023;A;1050;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;14;;;14MAY25 1331;
N;LYS;AF 6024;D;1130;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;15;;;14MAY25 1331;
N;LYS;AF 6025;A;1430;20251026;20260322;0000007;TLS;TLS;100;E90;J;1;;;;;W25;16;;;14MAY25 1331;
N;LYS;AF 6025;A;1445;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;17;;;03JUN25 1509;
N;LYS;AF 6025;A;1540;20251031;20260327;0000500;TLS;TLS;100;E90;J;1;;;;;W25;18;;;03JUN25 1510;
N;LYS;AF 6026;D;1510;20251026;20260322;0000007;TLS;TLS;100;E90;J;1;;;;;W25;19;;;14MAY25 1331;
N;LYS;AF 6026;D;1525;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;20;;;03JUN25 1508;
N;LYS;AF 6026;D;1630;20251031;20260327;0000500;TLS;TLS;100;E90;J;1;;;;;W25;21;;;14MAY25 1331;
N;LYS;AF 6027;A;1830;20251026;20260322;0000007;TLS;TLS;100;E90;J;1;;;;;W25;22;;;14MAY25 1331;
N;LYS;AF 6027;A;1840;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;23;;;03JUN25 1509;
N;LYS;AF 6027;A;1935;20251031;20260327;0000500;TLS;TLS;100;E90;J;1;;;;;W25;24;;;03JUN25 1509;
N;LYS;AF 6028;D;1910;20251026;20260322;0000007;TLS;TLS;100;E90;J;1;;;;;W25;25;;;14MAY25 1331;
N;LYS;AF 6028;D;1920;20251027;20260326;1234000;TLS;TLS;100;E90;J;1;;;;;W25;26;;;03JUN25 1508;
